"file path",copyright
vscode-main-1.zip/vscode-main/src/vs/workbench/services/keybinding/common/keybindingEditing.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/keybinding/common/keybindingIO.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/extensions/diff/cgmanifest.json,"Copyright (c) textmate-diff.tmbundle project authors"","
vscode-main-1.zip/vscode-main/extensions/postinstall.mjs,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/keybinding/common/macLinuxKeyboardMapper.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/keybinding/electron-sandbox/nativeKeyboardLayout.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/keybinding/electron-sandbox/nativeKeyboardLayoutService.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/assignment/common/assignmentService.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/worker/polyfillNestedWorker.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/test/browser/extensionStorageMigration.test.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/test/browser/extensionService.test.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/test/common/extensionManifestPropertiesService.test.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/test/common/extensionDescriptionRegistry.test.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/test/common/rpcProtocol.test.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/browser/extensionService.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/browser/webWorkerExtensionHost.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/browser/extensionUrlHandler.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/browser/webWorkerFileSystemProvider.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionsUtil.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/extensionsProposedApi.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/lazyPromise.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
vscode-main-1.zip/vscode-main/src/vs/workbench/services/extensions/common/remoteConsoleUtil.ts,"Copyright (c) Microsoft Corporation. All rights reserved. Licensed under the MIT License. See License.txt in the project root for license information."
